name,ballots,James D. Hooper,Write-in,id
"City of Detroit, Precinct 223",12,1,0,1632200002223
"City of Detroit, Precinct 224",37,1,0,1632200002224
"City of Detroit, Precinct 225",19,0,0,1632200002225
"City of Detroit, Precinct 226",18,0,1,1632200002226
"City of Detroit, Precinct 227",4,0,0,1632200002227
"City of Detroit, Precinct 228",15,0,0,1632200002228
"City of Detroit, Precinct 229",12,0,0,1632200002229
"City of Detroit, Precinct 230",16,0,0,1632200002230
"City of Detroit, Precinct 231",18,0,0,1632200002231
"City of Detroit, Precinct 232",14,0,0,1632200002232
"City of Detroit, Precinct 233",22,0,0,1632200002233
"City of Detroit, Precinct 234",8,0,0,1632200002234
"City of Detroit, Precinct 236",22,2,0,1632200002236
"City of Detroit, Precinct 240",24,0,0,1632200002240
"City of Detroit, Precinct 241",13,1,0,1632200002241
"City of Detroit, Precinct 242",16,0,0,1632200002242
"City of Detroit, Precinct 243",3,0,0,1632200002243
"City of Detroit, Precinct 244",24,2,0,1632200002244
"City of Detroit, Precinct 246",9,0,0,1632200002246
"City of Detroit, Precinct 247",8,0,0,1632200002247
"City of Detroit, Precinct 248",7,0,0,1632200002248
"City of Detroit, Precinct 249",5,0,0,1632200002249
"City of Detroit, Precinct 250",7,0,0,1632200002250
"City of Detroit, Precinct 251",5,0,0,1632200002251
"City of Detroit, Precinct 252",8,0,0,1632200002252
"City of Detroit, Precinct 253",9,0,0,1632200002253
"City of Detroit, Precinct 254",11,0,0,1632200002254
"City of Detroit, Precinct 256",6,0,0,1632200002256
"City of Detroit, Precinct 257",20,0,0,1632200002257
"City of Detroit, Precinct 258",20,0,0,1632200002258
"City of Detroit, Precinct 261",17,2,0,1632200001261
"City of Detroit, Precinct 263",22,1,0,1632200001263
"City of Detroit, Precinct 264",9,0,0,1632200001264
"City of Detroit, Precinct 265",3,0,0,1632200001265
"City of Detroit, Precinct 266",0,0,0,1632200001266
"City of Detroit, Precinct 267",1,0,0,1632200001267
"City of Detroit, Precinct 268",2,0,0,1632200001268
"City of Detroit, Precinct 269",4,0,0,1632200001269
"City of Detroit, Precinct 271",17,0,0,1632200001271
"City of Detroit, Precinct 272",1,0,0,1632200001272
"City of Detroit, Precinct 273",6,0,0,1632200001273
"City of Detroit, Precinct 275",9,0,0,1632200001275
"City of Detroit, Precinct 276",17,1,0,1632200001276
"City of Detroit, Precinct 278",17,0,0,1632200001278
"City of Detroit, Precinct 279",28,0,0,1632200001279
"City of Detroit, Precinct 280",1,0,0,1632200001280
"City of Detroit, Precinct 281",6,0,0,1632200001281
"City of Detroit, Precinct 282",6,0,0,1632200001282
"City of Detroit, Precinct 283",34,0,0,1632200001283
"City of Detroit, Precinct 285",14,0,0,1632200001285
"City of Detroit, Precinct 286",4,0,0,1632200001286
"City of Detroit, Precinct 287",6,0,0,1632200001287
"City of Detroit, Precinct 288",5,0,0,1632200002288
"City of Detroit, Precinct 289",4,0,0,1632200002289
"City of Detroit, Precinct 290",7,0,0,1632200002290
"City of Detroit, Precinct 291",24,1,0,1632200002291
"City of Detroit, Precinct 292",15,0,0,1632200002292
"City of Detroit, Precinct 293",5,0,0,1632200002293
"City of Detroit, Precinct 294",10,0,0,1632200002294
"City of Detroit, Precinct 295",24,0,0,1632200002295
"City of Detroit, Precinct 296",15,0,0,1632200002296
"City of Detroit, Precinct 297",14,0,0,1632200001297
"City of Detroit, Precinct 298",10,1,0,1632200001298
"City of Detroit, Precinct 299",16,0,0,1632200001299
"City of Detroit, Precinct 300",7,0,0,1632200001300
"City of Detroit, Precinct 301",1,0,0,1632200001301
"City of Detroit, Precinct 302",12,0,0,1632200001302
"City of Detroit, Precinct 304",1,0,0,1632200001304
"City of Detroit, Precinct 305",9,0,0,1632200001305
"City of Detroit, Precinct 306",19,1,0,1632200001306
"City of Detroit, Precinct 307",16,1,0,1632200001307
"City of Detroit, Precinct 308",39,0,0,1632200001308
"City of Detroit, Precinct 309",6,1,0,1632200001309
"City of Detroit, Precinct 310",10,0,0,1632200001310
"City of Detroit, Precinct 311",25,0,0,1632200001311
"City of Detroit, Precinct 312",13,0,0,1632200001312
"City of Detroit, Precinct 313",10,0,0,1632200002313
"City of Detroit, Precinct 315",11,0,0,1632200001315
"City of Detroit, Precinct 316",15,0,0,1632200001316
"City of Detroit, Precinct 317",7,1,0,1632200001317
"City of Detroit, Precinct 318",5,0,0,1632200002318
"City of Detroit, Precinct 319",6,1,0,1632200001319
"City of Detroit, Precinct 320",11,0,0,1632200001320
"City of Detroit, Precinct 321",4,0,0,1632200001321
"City of Detroit, Precinct 323",38,0,0,1632200001323
"City of Detroit, Precinct 324",29,0,0,1632200001324
"City of Detroit, Precinct 325",13,0,0,1632200001325
"City of Detroit, Precinct 326",31,1,0,1632200001326
"City of Detroit, Precinct 328",8,0,0,1632200001328
"City of Detroit, Precinct 329",7,0,0,1632200001329
"City of Detroit, Precinct 330",4,0,0,1632200007330
"City of Detroit, Precinct 331",15,0,0,1632200007331
"City of Detroit, Precinct 333",4,0,0,1632200007333
"City of Detroit, Precinct 334",1,0,0,1632200007334
"City of Detroit, Precinct 335",3,0,0,1632200007335
"City of Detroit, Precinct 336",3,1,0,1632200007336
"City of Detroit, Precinct 337",5,0,0,1632200007337
"City of Detroit, Precinct 338",2,0,0,1632200007338
"City of Detroit, Precinct 339",3,0,0,1632200007339
"City of Detroit, Precinct 340",2,0,1,1632200007340
"City of Detroit, Precinct 341",7,0,0,1632200007341
"City of Detroit, Precinct 342",5,0,0,1632200007342
"City of Detroit, Precinct 343",8,0,0,1632200007343
"City of Detroit, Precinct 344",5,0,0,1632200007344
"City of Detroit, Precinct 345",6,0,0,1632200007345
"City of Detroit, Precinct 346",6,0,0,1632200007346
"City of Detroit, Precinct 347",9,0,0,1632200007347
"City of Detroit, Precinct 348",4,0,0,1632200007348
"City of Detroit, Precinct 349",18,1,0,1632200007349
"City of Detroit, Precinct 350",4,1,0,1632200001350
"City of Detroit, Precinct 351",8,2,0,1632200001351
"City of Detroit, Precinct 352",7,0,0,1632200001352
"City of Detroit, Precinct 353",2,0,0,1632200007353
"City of Detroit, Precinct 355",4,0,0,1632200007355
"City of Detroit, Precinct 356",4,0,0,1632200007356
"City of Detroit, Precinct 357",16,0,0,1632200001357
"City of Detroit, Precinct 359",16,0,0,1632200001359
"City of Detroit, Precinct 361",18,0,1,1632200001361
"City of Detroit, Precinct 362",4,1,0,1632200001362
"City of Detroit, Precinct 363",4,0,0,1632200007363
"City of Detroit, Precinct 364",5,0,0,1632200007364
"City of Detroit, Precinct 365",4,0,0,1632200007365
"City of Detroit, Precinct 368",2,0,0,1632200007368
"City of Detroit, Precinct 369",10,1,0,1632200007369
"City of Detroit, Precinct 370",2,0,0,1632200007370
"City of Detroit, Precinct 371",3,0,0,1632200007371
"City of Detroit, Precinct 373",6,0,0,1632200007373
"City of Detroit, Precinct 374",3,0,0,1632200007374
"City of Detroit, Precinct 375",7,0,0,1632200007375
"City of Detroit, Precinct 376",10,0,0,1632200007376
"City of Detroit, Precinct 377",4,0,0,1632200007377
"City of Detroit, Precinct 378",4,0,0,1632200001378
"City of Detroit, Precinct 379",15,1,0,1632200001379
"City of Detroit, Precinct 380",18,0,0,1632200007380
"City of Detroit, Precinct 381",38,0,0,1632200007381
"City of Detroit, Precinct 383",10,0,0,1632200002383
"City of Detroit, Precinct 384",17,1,0,1632200002384
"City of Detroit, Precinct 385",7,0,0,1632200002385
"City of Detroit, Precinct 389",2,0,0,1632200002389
"City of Detroit, Precinct 391",0,0,0,1632200007391
"City of Detroit, Precinct 392",9,0,0,1632200007392
"City of Detroit, Precinct 393",7,0,0,1632200007393
"City of Detroit, Precinct 394",6,0,0,1632200007394
"City of Detroit, Precinct 395",7,0,0,1632200007395
"City of Detroit, Precinct 403",17,1,0,1632200002403
"City of Detroit, Precinct 404",3,0,0,1632200007404
"City of Detroit, Precinct 406",18,0,0,1632200007406
"City of Detroit, Precinct 407",1,0,0,1632200007407
"City of Detroit, Precinct 408",5,0,0,1632200007408
"City of Detroit, Precinct 410",12,0,0,1632200007410
"City of Detroit, Precinct 411",18,0,0,1632200007411
"City of Detroit, Precinct 413",21,0,0,1632200007413
"City of Detroit, Precinct 495",16,0,0,1632200001495
"City of Detroit, Precinct 501",2,1,0,1632200001501
"City of Garden City, Precinct 1",35,9,0,1633142000001
"City of Garden City, Precinct 2",24,7,0,1633142000002
"City of Garden City, Precinct 3",27,6,0,1633142000003
"City of Garden City, Precinct 4",12,6,0,1633142000004
"City of Garden City, Precinct 5",20,8,0,1633142000005
"City of Garden City, Precinct 6",26,10,0,1633142000006
"City of Garden City, Precinct 7",25,8,0,1633142000007
"City of Garden City, Precinct 8",29,6,0,1633142000008
"City of Garden City, Precinct 9",26,7,0,1633142000009
"City of Garden City, Precinct 10",28,6,0,1633142000010
"City of Inkster, District 1 Precinct 1",19,0,0,1634068001001
"City of Inkster, District 1 Precinct 2",5,0,0,1634068001002
"City of Inkster, District 2 Precinct 1",22,4,0,1634068002001
"City of Inkster, District 2 Precinct 2",22,1,0,1634068002002
"City of Inkster, District 3 Precinct 1",17,0,0,1634068003001
"City of Inkster, District 3 Precinct 2",13,0,0,1634068003002
"City of Inkster, District 4 Precinct 1",27,5,0,1634068004001
"City of Inkster, District 4 Precinct 2",23,0,0,1634068004002
"City of Inkster, District 5 Precinct 1",15,0,0,1634068005001
"City of Inkster, District 6 Precinct 1",13,0,0,1634068006001
"City of Inkster, District 6 Precinct 2",22,0,0,1634068006002
"City of Livonia, Precinct 1",42,10,0,1634900000001
"City of Livonia, Precinct 2",31,10,0,1634900000002
"City of Livonia, Precinct 3",77,25,0,1634900000003
"City of Livonia, Precinct 4",62,14,0,1634900000004
"City of Livonia, Precinct 5",40,12,0,1634900000005
"City of Livonia, Precinct 6",73,26,0,1634900000006
"City of Livonia, Precinct 7",90,31,0,1634900000007
"City of Livonia, Precinct 8",70,27,0,1634900000008
"City of Livonia, Precinct 9",78,24,0,1634900000009
"City of Livonia, Precinct 10",109,40,0,1634900000010
"City of Livonia, Precinct 11",91,31,0,1634900000011
"City of Livonia, Precinct 12",108,37,0,1634900000012
"City of Livonia, Precinct 13",30,10,0,1634900000013
"City of Livonia, Precinct 14",60,16,0,1634900000014
"City of Livonia, Precinct 15",44,15,0,1634900000015
"City of Livonia, Precinct 16",87,30,0,1634900000016
"City of Livonia, Precinct 17",56,25,0,1634900000017
"City of Livonia, Precinct 18",64,21,0,1634900000018
"City of Livonia, Precinct 19",36,6,0,1634900000019
"City of Livonia, Precinct 20",20,6,0,1634900000020
"City of Livonia, Precinct 21",63,18,0,1634900000021
"City of Livonia, Precinct 22",32,12,0,1634900000022
"City of Livonia, Precinct 23",46,4,0,1634900000023
"City of Livonia, Precinct 24",61,20,0,1634900000024
"City of Livonia, Precinct 25",103,44,0,1634900000025
"City of Livonia, Precinct 26",66,19,0,1634900000026
"Redford Township, Precinct 1",26,4,0,1636762500001
"Redford Township, Precinct 2",5,2,0,1636762500002
"Redford Township, Precinct 3",53,13,0,1636762500003
"Redford Township, Precinct 4",29,9,0,1636762500004
"Redford Township, Precinct 5",50,9,0,1636762500005
"Redford Township, Precinct 6",43,15,0,1636762500006
"Redford Township, Precinct 7",42,16,0,1636762500007
"Redford Township, Precinct 8",51,9,0,1636762500008
"Redford Township, Precinct 9",45,2,0,1636762500009
"Redford Township, Precinct 10",59,7,0,1636762500010
"Redford Township, Precinct 11",65,10,0,1636762500011
"Redford Township, Precinct 12",73,8,0,1636762500012
"City of Westland, Precinct 1",54,8,0,1638600000001
"City of Westland, Precinct 2",56,5,0,1638600000002
"City of Westland, Precinct 3",59,24,0,1638600000003
"City of Westland, Precinct 4",63,18,0,1638600000004
"City of Westland, Precinct 5",54,13,0,1638600000005
"City of Westland, Precinct 6",52,13,0,1638600000006
"City of Westland, Precinct 7",58,8,0,1638600000007
"City of Westland, Precinct 8",28,2,0,1638600000008
"City of Westland, Precinct 9",35,9,0,1638600000009
"City of Westland, Precinct 10",50,11,0,1638600000010
"City of Westland, Precinct 11",45,11,0,1638600000011
"City of Westland, Precinct 12",25,8,0,1638600000012
"City of Westland, Precinct 13",43,7,0,1638600000013
"City of Westland, Precinct 14",29,9,0,1638600000014
"City of Westland, Precinct 15",38,18,0,1638600000015
"City of Westland, Precinct 16",52,11,0,1638600000016
"City of Westland, Precinct 17",57,11,0,1638600000017
"City of Westland, Precinct 28",29,8,0,1638600000028
